ORDER_0001;PROD_llvljtel;1
ORDER_0001;PROD_mugvlh;1
ORDER_0001;PROD_kwsjfhfu;1
ORDER_0001;PROD_sllkwb;3
ORDER_0002;PROD_kcks;5
ORDER_0002;PROD_mawnr;2
ORDER_0002;PROD_pska;5
ORDER_0002;PROD_jrvsxn;2
ORDER_0003;PROD_wtmumux;8
ORDER_0003;PROD_ufwjj;7
ORDER_0003;PROD_tmoefx;2
ORDER_0003;PROD_eahhoi;3
ORDER_0003;PROD_pwnc;3
ORDER_0004;PROD_okexs;10
ORDER_0004;PROD_zvovbiz;1
ORDER_0004;PROD_jsarvexn;3
ORDER_0005;PROD_uffatwjk;1
ORDER_0005;PROD_uffgzkbh;8
ORDER_0005;PROD_kptjjgb;4
ORDER_0006;PROD_pklvfl;5
ORDER_0006;PROD_lfzjb;10
ORDER_0006;PROD_pkawzxj;3
ORDER_0007;PROD_ixod;10
ORDER_0007;PROD_rwbvia;5
ORDER_0008;PROD_ijmpb;6
ORDER_0008;PROD_ypwjnqj;2
ORDER_0008;PROD_emuxepjl;2
ORDER_0008;PROD_agomiv;5
ORDER_0008;PROD_inrqe;4
ORDER_0008;PROD_cyrirgjb;4
ORDER_0009;PROD_cgztm;6
ORDER_0009;PROD_aywda;10
ORDER_0009;PROD_jlkwyx;4
ORDER_0009;PROD_fgzjq;2
ORDER_0009;PROD_patzcwl;2
ORDER_0010;PROD_ajrpcfi;1
ORDER_0010;PROD_liiyt;1
ORDER_0010;PROD_zgwbrufs;6
ORDER_0010;PROD_tszjdn;1
ORDER_0010;PROD_sqytga;1
ORDER_0010;PROD_fskiqyq;2
ORDER_0011;PROD_jdnkf;7
ORDER_0011;PROD_zyajvebx;2
ORDER_0011;PROD_pslq;5
ORDER_0012;PROD_uwgpn;4
ORDER_0012;PROD_wncw;3
ORDER_0012;PROD_bmwzud;5
ORDER_0012;PROD_uecikmr;2
ORDER_0013;PROD_qqysl;2
ORDER_0013;PROD_tgkwpoh;1
ORDER_0014;PROD_njtucdi;2
ORDER_0014;PROD_sdag;1
ORDER_0014;PROD_mnrlpaa;4
